,id,start,end,gene_name,product,strand,locus_tag,interval
2513,cds-WP_003141240.1,1367256,1368410,,serine hydrolase,+,NCGM2_RS06195,"[1367256, 1368410]"
2515,cds-WP_003093963.1,1368407,1368742,,hypothetical protein,+,NCGM2_RS06200,"[1368407, 1368742]"
2517,cds-WP_003093959.1,1368803,1369393,,YceI family protein,+,NCGM2_RS06205,"[1368803, 1369393]"
2519,cds-WP_003093956.1,1369558,1370778,,amidohydrolase,+,NCGM2_RS06210,"[1369558, 1370778]"
2521,cds-WP_003093955.1,1370815,1372134,,MFS transporter,+,NCGM2_RS06215,"[1370815, 1372134]"
2523,cds-WP_003093953.1,1372135,1373619,,amidase,+,NCGM2_RS06220,"[1372135, 1373619]"
2525,cds-WP_003093951.1,1373719,1374489,,IclR family transcriptional regulator,+,NCGM2_RS06225,"[1373719, 1374489]"
2527,cds-WP_003093949.1,1374554,1375126,,YceI family protein,+,NCGM2_RS06230,"[1374554, 1375126]"
2529,cds-WP_003120863.1,1375201,1376280,,phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase family protein,+,NCGM2_RS06235,"[1375201, 1376280]"
2531,cds-WP_003093946.1,1376380,1377660,,acyltransferase,+,NCGM2_RS06240,"[1376380, 1377660]"
2533,cds-WP_003093944.1,1377754,1378365,,DUF2846 domain-containing protein,+,NCGM2_RS06245,"[1377754, 1378365]"
2535,cds-WP_019485779.1,1378469,1379053,,DJ-1/PfpI family protein,+,NCGM2_RS06250,"[1378469, 1379053]"
2537,cds-WP_003093942.1,1379074,1379382,,ribbon-helix-helix domain-containing protein,+,NCGM2_RS06255,"[1379074, 1379382]"
2539,cds-WP_073651059.1,1379466,1380773,,divalent metal cation transporter,+,NCGM2_RS06260,"[1379466, 1380773]"
2541,cds-WP_003093938.1,1380870,1382393,,fumarate hydratase,-,NCGM2_RS06265,"[1380870, 1382393]"
2543,cds-WP_003093937.1,1382671,1383798,,GGDEF domain-containing protein,+,NCGM2_RS06270,"[1382671, 1383798]"
2545,cds-WP_003093934.1,1383791,1384717,,iron-sulfur-binding ferredoxin reductase,+,NCGM2_RS06275,"[1383791, 1384717]"
2547,cds-WP_003093932.1,1384783,1385556,,enoyl-CoA hydratase,+,NCGM2_RS06280,"[1384783, 1385556]"
2549,cds-WP_003093930.1,1385635,1387086,pyk,pyruvate kinase,-,NCGM2_RS06285,"[1385635, 1387086]"
2551,cds-WP_003093926.1,1387169,1388083,,universal stress protein,-,NCGM2_RS06290,"[1387169, 1388083]"
2553,cds-WP_003093924.1,1388168,1388974,,tetratricopeptide repeat protein,-,NCGM2_RS06295,"[1388168, 1388974]"
2555,cds-WP_003141224.1,1389068,1389451,,hypothetical protein,+,NCGM2_RS06300,"[1389068, 1389451]"
2557,cds-WP_003093901.1,1389552,1389974,,DUF4124 domain-containing protein,+,NCGM2_RS06305,"[1389552, 1389974]"
2559,cds-WP_003093898.1,1390035,1390394,,hypothetical protein,+,NCGM2_RS06310,"[1390035, 1390394]"
2561,cds-WP_003093897.1,1390399,1391730,,DUF58 domain-containing protein,-,NCGM2_RS06315,"[1390399, 1391730]"
2563,cds-WP_003093896.1,1391727,1392734,,MoxR family ATPase,-,NCGM2_RS06320,"[1391727, 1392734]"
2565,cds-WP_003093895.1,1392731,1394008,,DUF4350 domain-containing protein,-,NCGM2_RS06325,"[1392731, 1394008]"
2567,cds-WP_003093894.1,1394005,1395576,,DUF4129 domain-containing protein,-,NCGM2_RS06330,"[1394005, 1395576]"
2569,cds-WP_003093893.1,1395563,1396543,,stage II sporulation protein M,-,NCGM2_RS06335,"[1395563, 1396543]"
2571,cds-WP_073660234.1,1396540,1397337,,RDD family protein,-,NCGM2_RS06340,"[1396540, 1397337]"
2573,cds-WP_003093890.1,1397375,1398112,,hypothetical protein,-,NCGM2_RS06345,"[1397375, 1398112]"
2575,cds-WP_003120852.1,1398337,1399779,sbcB,exodeoxyribonuclease I,+,NCGM2_RS06350,"[1398337, 1399779]"
2577,cds-WP_003093888.1,1399864,1400238,,DNA binding protein,-,NCGM2_RS06355,"[1399864, 1400238]"
2579,cds-WP_003093887.1,1400498,1401349,purU,formyltetrahydrofolate deformylase,+,NCGM2_RS06360,"[1400498, 1401349]"
2581,cds-WP_003093886.1,1401399,1401611,,hypothetical protein,+,NCGM2_RS06365,"[1401399, 1401611]"
2583,cds-WP_003093885.1,1401586,1402587,,flippase-like domain-containing protein,-,NCGM2_RS06370,"[1401586, 1402587]"
2585,cds-WP_003093883.1,1402584,1403345,,DUF2334 domain-containing protein,-,NCGM2_RS06375,"[1402584, 1403345]"
2587,cds-WP_003093880.1,1403338,1404453,,glycosyltransferase family 1 protein,-,NCGM2_RS06380,"[1403338, 1404453]"
2589,cds-WP_014603576.1,1404770,1406659,,methyl-accepting chemotaxis protein,-,NCGM2_RS06385,"[1404770, 1406659]"
2591,cds-WP_011666750.1,1406896,1408785,,methyl-accepting chemotaxis protein,-,NCGM2_RS06390,"[1406896, 1408785]"
2593,cds-WP_003093869.1,1409185,1410675,,DUF853 domain-containing protein,+,NCGM2_RS06395,"[1409185, 1410675]"
2595,cds-WP_014603577.1,1410779,1412677,,methyl-accepting chemotaxis protein,-,NCGM2_RS06400,"[1410779, 1412677]"
2597,cds-WP_003093864.1,1412866,1413078,flp,type 4b pilus Flp major pilin,-,NCGM2_RS06405,"[1412866, 1413078]"
2599,cds-WP_023098821.1,1413488,1414399,rcpC,type 4b pilus Flp biogenesis protein RcpC,+,NCGM2_RS06410,"[1413488, 1414399]"
2601,cds-WP_003093859.1,1414413,1415663,rcpA,type 4b pilus Flp secretin RcpA,+,NCGM2_RS06415,"[1414413, 1415663]"
2603,cds-WP_003093855.1,1415673,1416857,tadZ,type 4b pilus Flp biogenesis protein TadZ,+,NCGM2_RS06420,"[1415673, 1416857]"
2605,cds-WP_003093851.1,1416854,1418119,tadA,type 4b pilus Flp biogenesis ATPase TadA,+,NCGM2_RS06425,"[1416854, 1418119]"
2607,cds-WP_003093848.1,1418116,1419000,tadB,type 4b pilus Flp biogenesis protein TadB,+,NCGM2_RS06430,"[1418116, 1419000]"
2609,cds-WP_003093845.1,1419010,1419921,tadC,type 4b pilus Flp biogenesis protein TadC,+,NCGM2_RS06435,"[1419010, 1419921]"
2611,cds-WP_003110118.1,1419918,1420655,tadD,type 4b pilus Flp biogenesis protein TadD,+,NCGM2_RS06440,"[1419918, 1420655]"
2613,cds-WP_003093834.1,1420678,1420962,,DUF3613 domain-containing protein,+,NCGM2_RS06445,"[1420678, 1420962]"
2615,cds-WP_003093832.1,1420987,1422657,tadG,type 4b pilus Flp biogenesis protein TadG,+,NCGM2_RS06450,"[1420987, 1422657]"
2617,cds-WP_003103959.1,1422683,1423510,,response regulator transcription factor,-,NCGM2_RS06455,"[1422683, 1423510]"
2619,cds-WP_003110115.1,1423631,1424113,fppA,type 4b pilus Flp prepilin peptidase,-,NCGM2_RS06460,"[1423631, 1424113]"
2621,cds-WP_003120840.1,1424177,1424683,,pilus assembly protein,+,NCGM2_RS06465,"[1424177, 1424683]"
2623,cds-WP_003093823.1,1424693,1427461,,PAS domain S-box protein,+,NCGM2_RS06470,"[1424693, 1427461]"
2625,cds-WP_003093821.1,1427529,1428998,,inorganic phosphate transporter,-,NCGM2_RS06475,"[1427529, 1428998]"
2627,cds-WP_004364270.1,1429142,1429828,,hypothetical protein,-,NCGM2_RS31725,"[1429142, 1429828]"
2629,cds-WP_003093807.1,1429827,1431443,,methyl-accepting chemotaxis protein,+,NCGM2_RS06485,"[1429827, 1431443]"
2631,cds-WP_003093803.1,1431440,1432645,chrA,chromate efflux transporter,-,NCGM2_RS06490,"[1431440, 1432645]"
2633,cds-WP_003093801.1,1432700,1433503,,helix-turn-helix transcriptional regulator,-,NCGM2_RS06495,"[1432700, 1433503]"
2635,cds-WP_003093799.1,1433603,1434493,,DMT family transporter,+,NCGM2_RS06500,"[1433603, 1434493]"
2637,cds-WP_003110110.1,1434606,1435289,,lipoate--protein ligase family protein,+,NCGM2_RS06505,"[1434606, 1435289]"
2639,cds-WP_023098820.1,1435330,1438845,recC,exodeoxyribonuclease V subunit gamma,+,NCGM2_RS06510,"[1435330, 1438845]"
2641,cds-WP_003093781.1,1438842,1442579,recB,exodeoxyribonuclease V subunit beta,+,NCGM2_RS06515,"[1438842, 1442579]"
2643,cds-WP_003093778.1,1442576,1444741,recD,exodeoxyribonuclease V subunit alpha,+,NCGM2_RS06520,"[1442576, 1444741]"
2645,cds-WP_003093775.1,1444763,1448398,,AAA family ATPase,-,NCGM2_RS06525,"[1444763, 1448398]"
2647,cds-WP_014603579.1,1448407,1449636,sbcD,exonuclease subunit SbcD,-,NCGM2_RS06530,"[1448407, 1449636]"
2664,cds-WP_023657756.1,1455818,1458913,,error-prone DNA polymerase,-,NCGM2_RS06560,"[1455818, 1458913]"
2666,cds-WP_003085289.1,1458889,1460304,,DNA polymerase Y family protein,-,NCGM2_RS06565,"[1458889, 1460304]"
2668,cds-WP_031627677.1,1460312,1460917,imuA,translesion DNA synthesis-associated protein ImuA,-,NCGM2_RS06570,"[1460312, 1460917]"
2670,cds-WP_003085321.1,1461169,1461765,,biliverdin-producing heme oxygenase,+,NCGM2_RS06575,"[1461169, 1461765]"
2672,cds-WP_003085325.1,1461882,1462202,,hypothetical protein,-,NCGM2_RS06580,"[1461882, 1462202]"
2674,cds-WP_009315209.1,1462368,1463084,,TonB-dependent outer membrane receptor,+,NCGM2_RS06585,"[1462368, 1463084]"
2676,cds-WP_003085329.1,1463081,1463626,,RNA polymerase sigma factor,+,NCGM2_RS06590,"[1463081, 1463626]"
2678,cds-WP_003106396.1,1463696,1464655,,FecR family protein,+,NCGM2_RS06595,"[1463696, 1464655]"
2680,cds-WP_003085334.1,1464665,1465306,,prepilin-type N-terminal cleavage/methylation domain-containing protein,-,NCGM2_RS06600,"[1464665, 1465306]"
2682,cds-WP_003085343.1,1465290,1465739,gspH,type II secretion system minor pseudopilin GspH,-,NCGM2_RS06605,"[1465290, 1465739]"
2684,cds-WP_003085345.1,1465887,1466318,,hypothetical protein,+,NCGM2_RS06610,"[1465887, 1466318]"
2686,cds-WP_003085347.1,1466321,1466695,gspI,type II secretion system minor pseudopilin GspI,-,NCGM2_RS06615,"[1466321, 1466695]"
2688,cds-WP_003085349.1,1466929,1467378,gspG,type II secretion system major pseudopilin GspG,+,NCGM2_RS06620,"[1466929, 1467378]"
2690,cds-WP_003085351.1,1467386,1468351,gspK,type II secretion system minor pseudopilin GspK,+,NCGM2_RS06625,"[1467386, 1468351]"
2692,cds-NCGM2_RS06630,1468413,1469559,,type II secretion system protein,+,NCGM2_RS06630,"[1468413, 1469559]"
2694,cds-WP_003085356.1,1469546,1470139,,type II secretion system protein,+,NCGM2_RS06635,"[1469546, 1470139]"
2696,cds-WP_009315212.1,1470136,1472547,gspD,type II secretion system secretin GspD,+,NCGM2_RS06640,"[1470136, 1472547]"
2698,cds-WP_014603581.1,1472544,1473953,gspE,type II secretion system ATPase GspE,+,NCGM2_RS06645,"[1472544, 1473953]"
2700,cds-NCGM2_RS06650,1473953,1475166,gspF,type II secretion system inner membrane protein GspF,+,NCGM2_RS06650,"[1473953, 1475166]"
2702,cds-WP_003085359.1,1475680,1476858,,alkaline phosphatase,+,NCGM2_RS06655,"[1475680, 1476858]"
2704,cds-WP_003085360.1,1477057,1489596,,filamentous hemagglutinin N-terminal domain-containing protein,+,NCGM2_RS06660,"[1477057, 1489596]"
2706,cds-WP_003085362.1,1489988,1490590,,transposase,+,NCGM2_RS06665,"[1489988, 1490590]"
2708,cds-WP_003085364.1,1490755,1492389,,ShlB/FhaC/HecB family hemolysin secretion/activation protein,+,NCGM2_RS06670,"[1490755, 1492389]"
2710,cds-WP_003085365.1,1492413,1494260,,MotA/TolQ/ExbB proton channel family protein,+,NCGM2_RS06675,"[1492413, 1494260]"
2712,cds-WP_003085366.1,1494271,1494690,,biopolymer transporter ExbD,+,NCGM2_RS06680,"[1494271, 1494690]"
2714,cds-WP_003085367.1,1494699,1495445,,energy transducer TonB,+,NCGM2_RS06685,"[1494699, 1495445]"
2716,cds-WP_003085370.1,1495513,1497219,,membrane protein,+,NCGM2_RS06690,"[1495513, 1497219]"
2718,cds-WP_003085372.1,1497254,1497916,,hypothetical protein,+,NCGM2_RS06695,"[1497254, 1497916]"
2720,cds-WP_003085375.1,1497945,1498424,,YbjN domain-containing protein,+,NCGM2_RS06700,"[1497945, 1498424]"
2722,cds-WP_014603256.1,1498429,1499373,,peptidylprolyl isomerase,+,NCGM2_RS06705,"[1498429, 1499373]"
2724,cds-WP_003085381.1,1499373,1499798,,hypothetical protein,+,NCGM2_RS06710,"[1499373, 1499798]"
2726,cds-WP_003085384.1,1499808,1500794,,LysR family transcriptional regulator,+,NCGM2_RS06715,"[1499808, 1500794]"
2728,cds-WP_003085387.1,1500866,1501531,,helix-turn-helix domain-containing protein,+,NCGM2_RS06720,"[1500866, 1501531]"
2730,cds-WP_003085391.1,1501514,1502419,,sterol desaturase family protein,-,NCGM2_RS06725,"[1501514, 1502419]"
2732,cds-WP_014603584.1,1502498,1503814,,MFS transporter,-,NCGM2_RS06730,"[1502498, 1503814]"
2734,cds-WP_003085396.1,1503885,1505279,,amidase,-,NCGM2_RS06735,"[1503885, 1505279]"
2736,cds-WP_003085401.1,1505406,1506026,,CatB-related O-acetyltransferase,-,NCGM2_RS06740,"[1505406, 1506026]"
2738,cds-WP_003085404.1,1506060,1506962,,glycosyltransferase family 2 protein,-,NCGM2_RS06745,"[1506060, 1506962]"
2740,cds-WP_003085410.1,1507217,1507855,catB,type B chloramphenicol O-acetyltransferase,-,NCGM2_RS06750,"[1507217, 1507855]"
2742,cds-WP_003120800.1,1507948,1508727,,EAL domain-containing protein,-,NCGM2_RS06755,"[1507948, 1508727]"
2744,cds-WP_014603585.1,1509013,1509867,,LysR family transcriptional regulator,-,NCGM2_RS06760,"[1509013, 1509867]"
2746,cds-WP_003085421.1,1509983,1510279,,antibiotic biosynthesis monooxygenase,+,NCGM2_RS06765,"[1509983, 1510279]"
2748,cds-WP_003085424.1,1510324,1510719,gloA,lactoylglutathione lyase,+,NCGM2_RS06770,"[1510324, 1510719]"
2750,cds-WP_003085428.1,1510763,1511269,,N-acetyltransferase,-,NCGM2_RS06775,"[1510763, 1511269]"
2752,cds-WP_003085431.1,1511329,1511586,,hypothetical protein,-,NCGM2_RS06780,"[1511329, 1511586]"
2754,cds-WP_003085435.1,1511926,1512219,,DUF2845 domain-containing protein,+,NCGM2_RS06785,"[1511926, 1512219]"
2756,cds-WP_003085438.1,1512451,1512927,,hypothetical protein,+,NCGM2_RS06790,"[1512451, 1512927]"
2758,cds-WP_038404449.1,1513229,1513870,,substrate-binding domain-containing protein,-,NCGM2_RS06795,"[1513229, 1513870]"
2760,cds-WP_033940882.1,1513992,1514297,,helix-turn-helix transcriptional regulator,+,NCGM2_RS06800,"[1513992, 1514297]"
2762,cds-WP_008268675.1,1514333,1515223,,LysR family transcriptional regulator,-,NCGM2_RS06805,"[1514333, 1515223]"
2764,cds-WP_008267281.1,1515502,1516410,,WYL domain-containing protein,+,NCGM2_RS06810,"[1515502, 1516410]"
2766,cds-WP_014603587.1,1516423,1519656,,helicase,+,NCGM2_RS06815,"[1516423, 1519656]"
2768,cds-WP_008266060.1,1519671,1521458,,DUF262 domain-containing protein,+,NCGM2_RS06820,"[1519671, 1521458]"
2770,cds-WP_014603588.1,1521455,1522249,,DUF4391 domain-containing protein,+,NCGM2_RS06825,"[1521455, 1522249]"
2772,cds-WP_012206008.1,1522276,1524261,,site-specific DNA-methyltransferase,+,NCGM2_RS06830,"[1522276, 1524261]"
2774,cds-WP_008266576.1,1524273,1527278,,DEAD/DEAH box helicase family protein,+,NCGM2_RS06835,"[1524273, 1527278]"
2776,cds-WP_012206007.1,1527359,1528093,,VWA domain-containing protein,+,NCGM2_RS06840,"[1527359, 1528093]"
2778,cds-WP_038404450.1,1528093,1528362,,hypothetical protein,+,NCGM2_RS06845,"[1528093, 1528362]"
2780,cds-WP_012206005.1,1528379,1529689,,hypothetical protein,+,NCGM2_RS06850,"[1528379, 1529689]"
2782,cds-WP_033940875.1,1529686,1530030,,hypothetical protein,+,NCGM2_RS06855,"[1529686, 1530030]"
2784,cds-WP_031757235.1,1530023,1530253,,hypothetical protein,+,NCGM2_RS06860,"[1530023, 1530253]"
2786,cds-WP_014603591.1,1530250,1532925,,DUF87 domain-containing protein,+,NCGM2_RS06865,"[1530250, 1532925]"
2788,cds-WP_008266170.1,1532889,1534685,,DUF1887 family protein,+,NCGM2_RS06870,"[1532889, 1534685]"
2790,cds-WP_023124774.1,1534682,1535170,,hypothetical protein,+,NCGM2_RS06875,"[1534682, 1535170]"
2792,cds-WP_023124773.1,1535167,1535883,,protein phosphatase 2C domain-containing protein,+,NCGM2_RS06880,"[1535167, 1535883]"
2794,cds-WP_014603592.1,1535876,1537219,,serine/threonine protein kinase,+,NCGM2_RS06885,"[1535876, 1537219]"
2796,cds-WP_014603593.1,1537216,1540572,,AAA family ATPase,+,NCGM2_RS06890,"[1537216, 1540572]"
2798,cds-WP_008266911.1,1540539,1542506,,hypothetical protein,+,NCGM2_RS06895,"[1540539, 1542506]"
2800,cds-WP_014603594.1,1542509,1545145,,chromosome segregation ATPase,+,NCGM2_RS06900,"[1542509, 1545145]"
2802,cds-WP_008267353.1,1545142,1548477,,cold shock domain-containing protein,+,NCGM2_RS06905,"[1545142, 1548477]"
2804,cds-WP_038404454.1,1548508,1550364,,DNA-binding domain-containing protein,-,NCGM2_RS06910,"[1548508, 1550364]"
2806,cds-WP_008265574.1,1550662,1550979,,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,+,NCGM2_RS06915,"[1550662, 1550979]"
2808,cds-WP_012205993.1,1550979,1551437,,type II toxin-antitoxin system YhaV family toxin,+,NCGM2_RS06920,"[1550979, 1551437]"
2810,cds-WP_008264713.1,1551465,1551824,,DUF3742 family protein,+,NCGM2_RS06925,"[1551465, 1551824]"
2812,cds-WP_008266205.1,1551831,1553354,,conjugal transfer protein TraG,-,NCGM2_RS06930,"[1551831, 1553354]"
2814,cds-WP_008264618.1,1553370,1553741,,hypothetical protein,-,NCGM2_RS06935,"[1553370, 1553741]"
2816,cds-WP_008266424.1,1553738,1555144,,integrating conjugative element protein,-,NCGM2_RS06940,"[1553738, 1555144]"
2818,cds-WP_012205991.1,1555155,1556102,,TIGR03756 family integrating conjugative element protein,-,NCGM2_RS06945,"[1555155, 1556102]"
2820,cds-WP_008266034.1,1556099,1556545,,TIGR03757 family integrating conjugative element protein,-,NCGM2_RS06950,"[1556099, 1556545]"
2822,cds-WP_012205990.1,1556710,1557204,radC,DNA repair protein RadC,-,NCGM2_RS06955,"[1556710, 1557204]"
2824,cds-WP_014603596.1,1557383,1558147,,thioredoxin domain-containing protein,-,NCGM2_RS06960,"[1557383, 1558147]"
2826,cds-WP_014603597.1,1558163,1561072,,conjugative transfer ATPase,-,NCGM2_RS06965,"[1558163, 1561072]"
2828,cds-WP_008265628.1,1561072,1561521,,TIGR03751 family conjugal transfer lipoprotein,-,NCGM2_RS06970,"[1561072, 1561521]"
2830,cds-WP_014603598.1,1561502,1562911,,TIGR03752 family integrating conjugative element protein,-,NCGM2_RS06975,"[1561502, 1562911]"
2832,cds-WP_038404692.1,1562901,1563818,,TIGR03749 family integrating conjugative element protein,-,NCGM2_RS06980,"[1562901, 1563818]"
2834,cds-WP_008267835.1,1563824,1564516,,TIGR03746 family integrating conjugative element protein,-,NCGM2_RS06985,"[1563824, 1564516]"
2836,cds-WP_033940520.1,1564513,1564923,,TIGR03750 family conjugal transfer protein,-,NCGM2_RS06990,"[1564513, 1564923]"
2838,cds-WP_022579862.1,1564937,1565296,,TIGR03745 family integrating conjugative element membrane protein,-,NCGM2_RS06995,"[1564937, 1565296]"
2840,cds-WP_008266807.1,1565313,1565546,,TIGR03758 family integrating conjugative element protein,-,NCGM2_RS07000,"[1565313, 1565546]"
2842,cds-WP_008266900.1,1565543,1565926,,hypothetical protein,-,NCGM2_RS07005,"[1565543, 1565926]"
2844,cds-WP_008267465.1,1566025,1566774,,TIGR03747 family integrating conjugative element membrane protein,-,NCGM2_RS07010,"[1566025, 1566774]"
2846,cds-WP_033940518.1,1566771,1568954,traD,type IV conjugative transfer system coupling protein TraD,-,NCGM2_RS07015,"[1566771, 1568954]"
2848,cds-WP_008266518.1,1568959,1569507,,integrating conjugative element protein,-,NCGM2_RS07020,"[1568959, 1569507]"
2850,cds-WP_014603601.1,1569504,1570109,,transglycosylase SLT domain-containing protein,-,NCGM2_RS07025,"[1569504, 1570109]"
2852,cds-WP_014603602.1,1570091,1570828,,TIGR03759 family integrating conjugative element protein,-,NCGM2_RS07030,"[1570091, 1570828]"
2854,cds-WP_014603603.1,1570843,1571484,,hypothetical protein,-,NCGM2_RS07035,"[1570843, 1571484]"
2856,cds-WP_014603604.1,1571481,1572059,,hypothetical protein,-,NCGM2_RS07040,"[1571481, 1572059]"
2858,cds-WP_014603605.1,1572419,1574698,,DEAD/DEAH box helicase,-,NCGM2_RS07045,"[1572419, 1574698]"
2860,cds-WP_008266046.1,1574835,1575140,,hypothetical protein,-,NCGM2_RS07050,"[1574835, 1575140]"
2862,cds-WP_008265015.1,1575210,1575521,,hypothetical protein,-,NCGM2_RS07055,"[1575210, 1575521]"
2864,cds-WP_014603606.1,1575624,1576745,,class I SAM-dependent methyltransferase,-,NCGM2_RS07060,"[1575624, 1576745]"
2866,cds-WP_008268678.1,1576809,1577459,,hypothetical protein,-,NCGM2_RS07065,"[1576809, 1577459]"
2868,cds-WP_008265771.1,1577543,1577950,,hypothetical protein,-,NCGM2_RS07070,"[1577543, 1577950]"
2870,cds-WP_014603607.1,1578042,1578740,,DUF3275 family protein,-,NCGM2_RS07075,"[1578042, 1578740]"
2872,cds-WP_008268542.1,1578795,1579709,,DUF3577 domain-containing protein,-,NCGM2_RS07080,"[1578795, 1579709]"
2874,cds-WP_033940514.1,1580089,1580901,,GTPase,-,NCGM2_RS07085,"[1580089, 1580901]"
2876,cds-WP_008267470.1,1581182,1581460,,hypothetical protein,-,NCGM2_RS07090,"[1581182, 1581460]"
2878,cds-WP_008264880.1,1581555,1582292,,hypothetical protein,-,NCGM2_RS07095,"[1581555, 1582292]"
2880,cds-WP_008267955.1,1582505,1582897,,hypothetical protein,-,NCGM2_RS07100,"[1582505, 1582897]"
2882,cds-WP_014603608.1,1582919,1583131,,hypothetical protein,-,NCGM2_RS07105,"[1582919, 1583131]"
2884,cds-WP_008265051.1,1583462,1583707,,hypothetical protein,-,NCGM2_RS07110,"[1583462, 1583707]"
2886,cds-WP_008265951.1,1584231,1586243,,DNA topoisomerase III,-,NCGM2_RS07115,"[1584231, 1586243]"
2888,cds-WP_008267200.1,1586513,1586953,,single-stranded DNA-binding protein,-,NCGM2_RS07120,"[1586513, 1586953]"
2890,cds-WP_008268255.1,1587027,1587554,,DUF3158 family protein,-,NCGM2_RS07125,"[1587027, 1587554]"
2892,cds-WP_008267528.1,1587551,1588351,,TIGR03761 family integrating conjugative element protein,-,NCGM2_RS07130,"[1587551, 1588351]"
2894,cds-WP_033940508.1,1588669,1589913,,hypothetical protein,-,NCGM2_RS07135,"[1588669, 1589913]"
2896,cds-WP_008267477.1,1589917,1590477,,DUF2857 domain-containing protein,-,NCGM2_RS07140,"[1589917, 1590477]"
2898,cds-WP_014603610.1,1590493,1592121,,transcriptional regulator,-,NCGM2_RS07145,"[1590493, 1592121]"
2900,cds-WP_008268494.1,1592114,1592362,,hypothetical protein,-,NCGM2_RS07150,"[1592114, 1592362]"
2902,cds-WP_008268124.1,1592346,1593221,,ParA family protein,-,NCGM2_RS07155,"[1592346, 1593221]"
2904,cds-WP_014603611.1,1593264,1593476,,AlpA family transcriptional regulator,-,NCGM2_RS07160,"[1593264, 1593476]"
2906,cds-WP_008265643.1,1593595,1594350,,hypothetical protein,-,NCGM2_RS07165,"[1593595, 1594350]"
2908,cds-WP_008264493.1,1594915,1596843,,tyrosine-type recombinase/integrase,-,NCGM2_RS07170,"[1594915, 1596843]"
